"ID","title","subject","contents"
1,"Computer Login","How do I get a login to my computer","Send an email to Scott"
2,"Vacation Policy","How many days of vacation do I get","3 weeks in first year, then 4 weeks"
3,"Parent-leave policy","Does DigiCom support parent leave","yes, for 60 days"
4,"Parent-leave policy","Does DigiCom support well-baby care","yes, for 30 days"
5,"Travel policy","What is the travel allowance for New York","$250 per night"
6,"Travel policy","What is the travel allowance for London","$360 per night"
7,"Insurance programs","What insurance programs are supported?","HMO and PPO"



